,0
155,https://www.naukri.com/asp-jobs
156,https://www.naukri.com/calypso-jobs
157,https://www.naukri.com/gsm-jobs
158,https://www.naukri.com/load-runner-jobs
159,https://www.naukri.com/mcp-jobs
160,https://www.naukri.com/microstation-jobs
161,https://www.naukri.com/mscit-jobs
162,https://www.naukri.com/savvion-jobs
163,https://www.naukri.com/shell-scripting-jobs
164,https://www.naukri.com/spring-jobs
165,https://www.naukri.com/visual-basic-jobs
166,https://www.naukri.com/affiliate-marketing-jobs
167,https://www.naukri.com/eclipse-jobs
168,https://www.naukri.com/focus-jobs
169,https://www.naukri.com/fortran-jobs
170,https://www.naukri.com/hp-unix-jobs
171,https://www.naukri.com/jsf-jobs
172,https://www.naukri.com/mfc-jobs
173,https://www.naukri.com/sap-is-utilities-jobs
174,https://www.naukri.com/verilog-jobs
175,https://www.naukri.com/visual-foxpro-jobs
176,https://www.naukri.com/wcf-jobs
177,https://www.naukri.com/website-development-jobs
178,https://www.naukri.com/dreamweaver-jobs
179,https://www.naukri.com/iis-jobs
180,https://www.naukri.com/jsp-jobs
181,https://www.naukri.com/microsoft-excel-jobs
182,https://www.naukri.com/nortel-jobs
183,https://www.naukri.com/rdo-jobs
184,https://www.naukri.com/activex-jobs
185,https://www.naukri.com/ado-jobs
186,https://www.naukri.com/adobe-illustrator-jobs
187,https://www.naukri.com/adobe-pagemaker-jobs
188,https://www.naukri.com/ajax-jobs
189,https://www.naukri.com/ale-jobs
190,https://www.naukri.com/ant-jobs
191,https://www.naukri.com/apache-commons-jobs
192,https://www.naukri.com/apache-tomcat-jobs
193,https://www.naukri.com/apache-web-server-jobs
194,https://www.naukri.com/as-400-jobs
195,https://www.naukri.com/assembly-language-jobs
196,https://www.naukri.com/atl-jobs
197,https://www.naukri.com/autolisp-jobs
198,https://www.naukri.com/awt-jobs
199,https://www.naukri.com/basic-jobs
200,https://www.naukri.com/bluetooth-jobs
201,https://www.naukri.com/bpcs-jobs
202,https://www.naukri.com/bpel-jobs
203,https://www.naukri.com/brew-jobs
204,https://www.naukri.com/c-plus-plus-jobs
205,https://www.naukri.com/cdma-jobs
206,https://www.naukri.com/chordiant-jobs
207,https://www.naukri.com/cics-jobs
208,https://www.naukri.com/cldc-jobs
209,https://www.naukri.com/clipper-jobs
210,https://www.naukri.com/com-com-plus-dcom-jobs
211,https://www.naukri.com/corba-jobs
212,https://www.naukri.com/corejava-jobs
213,https://www.naukri.com/crystal-report-jobs
214,https://www.naukri.com/csharp-jobs
215,https://www.naukri.com/data-structures-jobs
216,https://www.naukri.com/database-administration-jobs
217,https://www.naukri.com/db4o-jobs
218,https://www.naukri.com/dbase-jobs
219,https://www.naukri.com/dcom-jobs
220,https://www.naukri.com/derby-jobs
221,https://www.naukri.com/developer-d2k-jobs
222,https://www.naukri.com/dhcp-jobs
223,https://www.naukri.com/dhtml-jobs
224,https://www.naukri.com/dns-jobs
225,https://www.naukri.com/dos-jobs
226,https://www.naukri.com/downstream-jobs
227,https://www.naukri.com/ejb-jobs
228,https://www.naukri.com/ethernet-jobs
229,https://www.naukri.com/expeditor-jobs
230,https://www.naukri.com/finone-jobs
231,https://www.naukri.com/firewall-jobs
232,https://www.naukri.com/fireworks-jobs
233,https://www.naukri.com/flashlite-jobs
234,https://www.naukri.com/freebsd-jobs
